x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
Timestamp_Seconds,588,,,,,,,,,,,,
Timestamp_Nanoseconds,82045000,,,,,,,,,,,,
Origin_Xpos,2.67,,,,,,,,,,,,
Origin_Ypos,0,,,,,,,,,,,,
Origin_Zpos,0.61,,,,,,,,,,,,
Origin_Roll,0,,,,,,,,,,,,
Origin_Pitch,0,,,,,,,,,,,,
Origin_Yaw,0,,,,,,,,,,,,
List_RadVelDomain_Min,-23.54,,,,,,,,,,,,
List_RadVelDomain_Max,23.54,,,,,,,,,,,,
Aln_AzimuthCorrection,0,,,,,,,,,,,,
Aln_ElevationCorrection,0,,,,,,,,,,,,
Aln_Status,ALIGNMENT_NOTOK,,,,,,,,,,,,
List_NumOfDetections,278,,,,,,,,,,,,
x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
48.65,-15.37,-9.86,0,0.02,0.25,-1,139,100,Obstacle,18,8800,100,0
51.63,-6.02,-4.02,0,0,0.25,-12,138,100,NoClassification,1,0,100,0
51.31,9.27,-4.33,0,-0.02,0.25,-11,140,100,TraversableUnder,28,13545,100,0
52.26,6.92,-4.79,0,-0.01,0.25,-3,142,100,TraversableUnder,21,13545,100,0
50.07,-17.72,0.57,0,0.02,0.25,-8,141,100,Obstacle,3,8800,100,0
45.05,-28.38,6.65,0,0,0.25,-2,143,100,NoClassification,41,0,50,0
53.34,6.6,-3.67,0,-0.02,0.25,-9,146,100,TraversableUnder,36,13545,100,0
38.61,38.21,-4.36,0,0.02,0.25,-2,149,100,NoClassification,9,0,50,0
48.35,-25.58,-0.34,0,-0.01,0.25,-13,148,100,Obstacle,42,23469,100,0
46.65,28.57,-5.45,0,0.01,0.25,-7,147,100,TraversableUnder,6,15661,100,0
36.33,40.99,-6.47,0,-0.02,0.25,4,151,100,NoClassification,7,0,70,0
47.59,28.26,-4.98,0,0,0.25,-1,150,100,TraversableUnder,1,15661,100,0
49.31,-25.61,-5.17,0,0.02,0.25,-13,152,100,Obstacle,15,23469,0,0
49.83,-26.35,-3.17,0,0.01,0.25,-1,155,100,Obstacle,10,23469,100,0
50.33,-25.92,-0.93,0,0,0.25,0,154,100,Obstacle,1,23469,100,0
53.13,-20.35,-2.46,0,-0.01,0.25,-12,153,100,Obstacle,8,27319,100,0
43.5,36.96,-2.58,0,0.01,0.25,-8,158,100,Obstacle,17,8120,100,0
53.34,-20.79,-2.18,0,0.02,0.25,-12,157,100,Obstacle,16,27319,100,0
49.58,28.73,6.34,0,-0.02,0.25,-8,156,100,TraversableUnder,18,15661,100,0
51.2,-26.3,-5.32,0,0.02,0.25,-7,161,100,Obstacle,20,23469,0,0
55.49,17.48,-3.6,0,-0.01,0.25,-6,159,100,Obstacle,30,10826,0,0
52.19,-26.4,-0.96,0,0.01,0.25,1,163,100,Obstacle,12,23469,100,0
58.21,7.45,-4.92,0,-0.01,0.25,-6,162,100,TraversableUnder,13,16896,100,0
58.33,7.54,-5.26,0,-0.01,0.25,-7,164,100,TraversableUnder,17,16896,100,0
46.88,36.47,-5.31,0,0,0.25,17,165,100,TraversableUnder,6,2700,100,0
56.54,-20,-4.13,0,0.02,0.25,-11,166,100,Obstacle,61,27319,90,0
54.18,-26.64,-1.08,0,0.01,0.25,-8,169,100,Obstacle,25,22843,100,0
58.08,16.72,-0.63,0,0.04,0.25,-9,168,100,Obstacle,37,27319,90,0
58.07,17.94,0.31,0,0,0.25,-16,167,100,NoClassification,2,0,100,0
54.13,-29.28,1.51,0,0.01,0.25,-5,170,100,Obstacle,0,16205,100,0
